EdgeID,from_id,to_id,Timestamp,Amount Received,Received Currency,Payment Format,Is Laundering,Transaction Authorization Method,Transaction Fees,Destination Bank ID,Transaction Origin,Transaction Status
0,0,1,80327,258.0,0,0,1,0,0.0,0,0,0
1,0,2,120610,258.0,0,0,1,0,0.0,1,0,0
2,0,3,202510,258.0,0,0,1,0,0.0,2,0,0
3,0,4,295810,258.0,0,0,1,0,0.0,3,0,0
4,5,6,499594,1850.0,0,0,1,0,1.0,4,1,0
5,6,5,499594,1850.0,0,0,1,0,1.0,4,1,0
6,7,6,551752,1740.0,0,0,1,0,2.0,4,1,0
7,8,6,642610,1936.0,0,0,1,0,3.0,4,1,0
8,9,6,742930,1850.0,0,0,1,0,1.0,4,1,0
9,6,10,894610,850.0,0,0,1,0,4.0,0,1,0
10,6,11,990190,1760.0,0,0,1,0,5.0,5,1,0
11,12,13,1011286,600.0,0,0,1,0,6.0,6,1,0
12,13,14,1074610,700.0,0,0,1,0,7.0,7,1,0
13,6,15,1086010,1622.0,0,0,1,0,8.0,6,1,0
14,14,16,1154710,800.0,0,0,1,0,9.0,8,1,0
15,6,17,1179250,2000.0,0,0,1,0,10.0,9,1,0
16,16,18,1261210,900.0,0,0,1,0,11.0,10,1,0
17,18,19,1357510,500.0,0,0,1,0,12.0,10,1,0
18,19,18,1357510,500.0,0,0,1,0,12.0,10,1,0
19,19,20,1452610,477.0,0,0,1,0,13.0,11,1,0
20,20,12,1545310,600.0,0,0,1,0,6.0,12,1,0
21,12,13,1634410,97.0,0,0,1,0,14.0,6,1,0
22,20,17,1937710,965.0,0,0,1,0,15.0,9,0,0
23,20,21,2017810,1720.0,0,0,1,0,16.0,13,0,0
24,20,22,2280010,1000.0,0,0,1,0,12.0,10,0,0
25,3,23,2296070,1195.0,0,0,1,1,17.0,14,2,0
26,24,23,2367010,1500.0,0,0,1,1,18.0,14,2,0
27,20,11,2372410,1550.0,0,0,1,0,19.0,5,0,0
28,20,25,2462410,1259.0,0,0,1,0,20.0,1,0,0
29,20,23,2556010,1259.0,0,0,1,0,20.0,14,0,0
30,26,1,3053392,1200.0,0,0,1,0,21.0,0,1,0
31,27,28,3099106,1391.67,0,0,1,0,22.0,9,1,0
32,3,19,3143710,1500.0,0,0,1,0,18.0,10,1,0
33,27,29,3143752,1391.67,0,0,1,0,22.0,15,1,0
34,27,7,3162665,1391.66,0,0,1,0,22.0,16,1,0
35,14,16,3234610,800.0,0,0,1,0,9.0,8,1,0
36,18,8,3325510,952.0,0,0,1,0,23.0,0,1,0
37,30,28,3405910,1391.7,0,0,1,0,22.0,9,1,0
38,10,31,3412810,1100.0,0,0,1,0,24.0,14,1,0
39,30,29,3426330,1391.7,0,0,1,0,22.0,15,1,0
40,30,7,3486020,1391.65,0,0,1,0,22.0,16,1,0
41,32,33,3503710,1300.0,0,0,1,0,25.0,17,1,0
42,8,29,3594610,1000.0,0,0,1,0,26.0,15,1,0
43,31,26,3685510,1000.0,0,0,1,0,26.0,18,1,0
44,16,23,3942910,815.0,0,0,1,1,27.0,14,2,0
45,34,9,4090534,600.0,0,0,1,0,6.0,19,1,0
46,30,9,4132177,1500.0,0,0,1,0,18.0,19,1,0
47,18,13,4181410,579.0,0,0,1,0,28.0,6,1,0
48,9,28,4185010,2000.0,0,0,1,0,10.0,9,1,0
49,35,36,4218248,1500.0,0,0,1,0,18.0,20,1,0
50,28,1,4263310,2500.0,0,0,1,0,29.0,0,1,0
51,37,36,4263352,1200.0,0,0,1,0,21.0,20,1,0
52,38,0,4268868,500.0,0,0,1,0,12.0,13,1,0
53,38,39,4272310,800.0,0,0,1,0,9.0,5,1,0
54,29,36,4354063,1800.0,0,0,1,0,30.0,20,1,0
55,9,25,4359610,900.0,0,0,1,0,11.0,1,1,0
56,38,40,4361410,400.0,0,0,1,0,31.0,12,1,0
57,1,13,4372930,1200.0,0,0,1,0,21.0,6,1,0
58,41,9,4414457,1100.0,0,0,1,0,32.0,19,2,0
59,42,36,4444510,1100.0,0,0,1,0,24.0,20,1,0
60,20,36,4450510,1100.0,0,0,1,0,24.0,20,1,0
61,38,37,4457710,300.0,0,0,1,0,32.0,1,1,0
62,13,43,4467310,1307.0,0,0,1,0,33.0,1,1,0
63,41,16,4509010,1100.0,0,0,1,0,34.0,8,2,0
64,43,30,4525210,1000.0,0,0,1,0,26.0,1,1,0
65,30,43,4525210,1000.0,0,0,1,0,26.0,1,1,0
66,13,36,4535110,1826.0,0,0,1,0,35.0,20,1,0
67,13,17,4541410,1100.0,0,0,1,0,24.0,9,1,0
68,38,32,4550410,467.0,0,0,1,0,36.0,18,1,0
69,36,9,4625710,826.0,0,0,1,0,37.0,19,1,0
70,36,32,4632310,100.0,0,0,1,0,38.0,18,1,0
71,41,22,4698010,1100.0,0,0,1,0,34.0,10,2,0
72,36,20,4716310,800.0,0,0,1,0,9.0,11,1,0
73,36,40,4806910,1000.0,0,0,1,0,26.0,12,1,0
74,4,23,4812130,1345.0,0,0,1,1,39.0,14,2,0
75,36,25,4897510,600.0,0,0,1,0,6.0,1,1,0
76,43,20,4942448,2000.0,0,0,1,0,10.0,11,1,0
77,22,0,4960810,500.0,0,0,1,0,12.0,13,1,0
78,36,17,4988110,400.0,0,0,1,0,31.0,9,1,0
79,22,40,5053510,400.0,0,0,1,0,31.0,12,1,0
80,41,30,5072410,1100.0,0,0,1,0,32.0,1,2,0
81,36,32,5078710,1000.0,0,0,1,0,26.0,18,1,0
82,20,10,5128210,2000.0,0,0,1,0,10.0,0,1,0
83,22,37,5146210,300.0,0,0,1,0,32.0,1,1,0
84,41,34,5166910,1100.0,0,0,1,0,34.0,11,2,0
85,36,23,5169310,1800.0,0,0,1,0,30.0,14,1,0
86,22,32,5238910,467.0,0,0,1,0,36.0,18,1,0
87,36,22,5256310,1826.0,0,0,1,0,35.0,10,1,0
88,41,6,5261410,1100.0,0,0,1,0,34.0,4,2,0
89,7,23,5306410,1000.0,0,0,1,1,26.0,14,2,0
90,36,21,5346910,1826.0,0,0,1,0,35.0,13,1,0
91,41,10,5355910,53.0,0,0,1,0,40.0,0,2,0
92,43,44,5387425,500.0,0,1,0,0,41.0,21,1,0
93,43,44,5390140,500.0,0,1,0,0,41.0,21,1,0
94,28,44,5390140,500.0,0,1,0,0,41.0,21,1,0
95,28,26,5390140,500.0,0,0,0,0,41.0,18,1,0
96,45,44,5390140,500.0,0,1,0,0,41.0,21,1,0
97,45,44,5390140,500.0,0,1,0,0,41.0,21,1,0
98,46,44,5390140,1500.0,0,1,0,0,41.0,21,1,0
99,18,44,5390140,500.0,0,1,0,0,41.0,21,1,0
100,18,44,5390140,500.0,0,1,0,0,41.0,21,1,0
101,35,44,5390140,500.0,0,1,0,0,41.0,21,1,0
102,35,44,5390140,500.0,0,1,0,0,41.0,21,1,0
103,47,44,5390140,500.0,0,1,0,0,41.0,21,1,0
104,47,44,5390140,500.0,0,1,0,0,41.0,21,1,0
105,39,44,5390140,500.0,0,1,0,0,41.0,21,1,0
106,39,44,5390140,500.0,0,1,0,0,41.0,21,1,0
